Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
CVTI,Covenant Transportation Group Inc,19.68,$358.06M,1994,Transportation,Trucking Freight/Courier Services,http//www.nasdaq.com/symbol/cvti,
COVS,Covisint Corporation,2.1,$85.21M,2013,Technology,EDP Services,http//www.nasdaq.com/symbol/covs,
COWN,Cowen Group Inc,3.16,$338.78M,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/cown,
COWNL,Cowen Group Inc,26.6001,na,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/cownl,
PMTS,CPI Card Group Inc.,4.82,$270.57M,2015,Finance,Finance Companies,http//www.nasdaq.com/symbol/pmts,
CPSH,CPS Technologies Corp.,1.36,$17.96M,na,Capital Goods,Building Materials,http//www.nasdaq.com/symbol/cpsh,
CRAI,CRA International Inc.,26.37,$215.83M,1998,Miscellaneous,Other Consumer Services,http//www.nasdaq.com/symbol/crai,
CBRL,Cracker Barrel Old Country Store Inc,160,$3.83B,1981,Consumer Services,Restaurants,http//www.nasdaq.com/symbol/cbrl,
BREW,Craft Brew Alliance Inc,14.43,$277.59M,na,Consumer Non-Durables,Beverages (Production/Distribution),http//www.nasdaq.com/symbol/brew,
CRAY,Cray Inc,22.23,$905.37M,na,Technology,Computer Manufacturing,http//www.nasdaq.com/symbol/cray,
CACC,Credit Acceptance Corporation,202.8,$4.12B,1992,Finance,Finance Consumer Services,http//www.nasdaq.com/symbol/cacc,
DGLD,Credit Suisse AG,41.61,$22.3M,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/dgld,
DSLV,Credit Suisse AG,19.42,$24.33M,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/dslv,
GLDI,Credit Suisse AG,10.7699,$145.67M,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/gldi,
SLVO,Credit Suisse AG,10.68,$9.08M,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/slvo,
TVIX,Credit Suisse AG,23.46,$316.5M,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/tvix,
TVIZ,Credit Suisse AG,9.56,$1.81M,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/tviz,
UGLD,Credit Suisse AG,13.99,$134.8M,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/ugld,
USLV,Credit Suisse AG,25.04,$334.1M,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/uslv,
