Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
NG,Novagold Resources Inc.,6.49,$2.08B,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/ng,
NTN,NTN Buzztime Inc,5.62,$10.39M,na,Consumer Services,Broadcasting,http//www.nasdaq.com/symbol/ntn,
NVX,Nuveen California Dividend Advantage Municipal Fund 2,16.32,$240.88M,2001,na,na,http//www.nasdaq.com/symbol/nvx,
NZH,Nuveen California Dividend Advantage Municipal Fund 3,15.83,$382.39M,na,na,na,http//www.nasdaq.com/symbol/nzh,
NCB,Nuveen California Municipal Value Fund 2,18.53,$60.95M,na,na,na,http//www.nasdaq.com/symbol/ncb,
CFD,Nuveen Diversified Commodity Fund,9.44,$85.4M,2010,na,na,http//www.nasdaq.com/symbol/cfd,
CTF,Nuveen Long/Short Commodity Total Return Fund,14.39,$235.22M,na,na,na,http//www.nasdaq.com/symbol/ctf,
NOM,Nuveen Missouri Premium Income Municipal Fund,17.0723,$39.91M,1993,na,na,http//www.nasdaq.com/symbol/nom,
NMZ,Nuveen Municipal High Income Opportunity Fund,15.08,$864.53M,2003,na,na,http//www.nasdaq.com/symbol/nmz,
NJV,Nuveen New Jersey Municipal Value Fund,16.15,$25.03M,na,na,na,http//www.nasdaq.com/symbol/njv,
NYV,Nuveen New York Municipal Value Fund 2,16.12,$37.88M,2009,na,na,http//www.nasdaq.com/symbol/nyv,
NPN,Nuveen Pennsylvania Municipal Value Fund,17.25,$21.04M,2009,na,na,http//www.nasdaq.com/symbol/npn,
JRS,Nuveen Real Estate Fund,11.91,$344.11M,2001,na,na,http//www.nasdaq.com/symbol/jrs,
OCX,OncoCyte Corporation,4.23,$107.57M,2015,Health Care,Biotechnology In Vitro & In Vivo Diagnostic Substances,http//www.nasdaq.com/symbol/ocx,
OGEN,Oragenics Inc,0.65,$26.04M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/ogen,
TIS,Orchids Paper Products Company,27.87,$286.97M,2005,Basic Industries,Paper,http//www.nasdaq.com/symbol/tis,
ONP,Orient Paper Inc,1.08,$23.17M,na,Consumer Durables,Containers/Packaging,http//www.nasdaq.com/symbol/onp,
ORM,Owens Realty Mortgage Inc,16.7,$171.13M,2013,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/orm,
